AvailabilityZone,AvailabilityZoneId,AvailableIpAddressCount,CidrBlock,DefaultForAz,MapPublicIpOnLaunch,MapCustomerOwnedIpOnLaunch,State,SubnetId,VpcId,OwnerId,AssignIpv6AddressOnCreation,Ipv6CidrBlockAssociationSet,SubnetArn
us-east-1b,use1-az6,211,10.203.18.0/23,FALSE,FALSE,FALSE,available,subnet-93723ecb,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-93723ecb
us-east-1b,use1-az6,21,10.203.1.0/27,FALSE,FALSE,FALSE,available,subnet-b57e35ec,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-b57e35ec
us-east-1d,use1-az2,57,10.203.4.192/26,FALSE,FALSE,FALSE,available,subnet-a30c2188,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-a30c2188
us-east-1a,use1-az4,248,10.203.12.0/24,FALSE,FALSE,FALSE,available,subnet-a15e6dd7,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-a15e6dd7
us-east-1a,use1-az4,16,10.194.60.0/27,FALSE,FALSE,FALSE,available,subnet-0aeb28e744ac4f8a8,vpc-0e999ead3381a15fd,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0aeb28e744ac4f8a8
us-east-1b,use1-az6,11,10.203.1.144/28,FALSE,FALSE,FALSE,available,subnet-eeb08ab7,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-eeb08ab7
us-east-1b,use1-az6,24,10.205.6.160/27,FALSE,FALSE,FALSE,available,subnet-ead213b2,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-ead213b2
us-east-1a,use1-az4,10,10.205.7.0/28,FALSE,FALSE,FALSE,available,subnet-32c6b444,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-32c6b444
us-east-1d,use1-az2,59,10.203.8.0/26,FALSE,FALSE,FALSE,available,subnet-7e807954,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-7e807954
us-east-1a,use1-az4,11,10.205.5.96/28,FALSE,FALSE,FALSE,available,subnet-fb68708c,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-fb68708c
us-east-1b,use1-az6,21,10.206.222.32/27,FALSE,FALSE,FALSE,available,subnet-07054d417cbe11886,vpc-062224ed81107628f,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-07054d417cbe11886
us-east-1b,use1-az6,58,10.205.8.64/26,FALSE,FALSE,FALSE,available,subnet-085f63f33773a9e30,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-085f63f33773a9e30
us-east-1d,use1-az2,10,10.205.7.48/28,FALSE,FALSE,FALSE,available,subnet-2c074c00,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-2c074c00
us-east-1b,use1-az6,251,10.203.13.0/24,FALSE,FALSE,FALSE,available,subnet-94723ecc,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-94723ecc
us-east-1b,use1-az6,59,10.203.62.128/26,FALSE,FALSE,FALSE,available,subnet-c73bb09f,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-c73bb09f
us-east-1a,use1-az4,10,10.203.7.64/28,FALSE,FALSE,FALSE,available,subnet-b6dd6ec0,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-b6dd6ec0
us-east-1a,use1-az4,25,10.203.10.64/27,FALSE,FALSE,FALSE,available,subnet-08f16540,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-08f16540
us-east-1a,use1-az4,122,10.203.11.0/25,FALSE,FALSE,FALSE,available,subnet-0aee6d2afe729d3cf,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0aee6d2afe729d3cf
us-east-1a,use1-az4,24,10.205.6.128/27,FALSE,FALSE,FALSE,available,subnet-a871dede,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-a871dede
us-east-1d,use1-az2,26,10.205.11.128/27,FALSE,FALSE,FALSE,available,subnet-68c18f47,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-68c18f47
us-east-1b,use1-az6,27,10.205.0.32/27,FALSE,FALSE,FALSE,available,subnet-27f84a7e,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-27f84a7e
us-east-1d,use1-az2,24,10.205.6.224/27,FALSE,FALSE,FALSE,available,subnet-1f8d4333,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-1f8d4333
us-east-1d,use1-az2,16,10.203.3.192/27,FALSE,FALSE,FALSE,available,subnet-bf655594,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-bf655594
us-east-1b,use1-az6,27,10.205.7.160/27,FALSE,FALSE,FALSE,available,subnet-9146bfcd,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-9146bfcd
us-east-1b,use1-az6,59,10.203.8.128/26,FALSE,FALSE,FALSE,available,subnet-362be76e,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-362be76e
us-east-1a,use1-az4,181,10.203.16.0/23,FALSE,FALSE,FALSE,available,subnet-ac5e6dda,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-ac5e6dda
us-east-1d,use1-az2,8,10.203.6.144/28,FALSE,FALSE,FALSE,available,subnet-5954af73,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-5954af73
us-east-1b,use1-az6,11,10.203.62.208/28,FALSE,FALSE,FALSE,available,subnet-046bca5c,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-046bca5c
us-east-1a,use1-az4,27,10.205.0.0/27,FALSE,FALSE,FALSE,available,subnet-db8a18ac,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-db8a18ac
us-east-1b,use1-az6,10,10.203.7.80/28,FALSE,FALSE,FALSE,available,subnet-efa1e3b5,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-efa1e3b5
us-east-1b,use1-az6,25,10.203.0.128/27,FALSE,FALSE,FALSE,available,subnet-0a32e876761f2b324,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0a32e876761f2b324
us-east-1d,use1-az2,25,10.203.10.0/27,FALSE,FALSE,FALSE,available,subnet-818a44ad,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-818a44ad
us-east-1d,use1-az2,211,10.203.20.0/23,FALSE,FALSE,FALSE,available,subnet-95d292bf,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-95d292bf
us-east-1b,use1-az6,15,10.203.3.160/27,FALSE,FALSE,FALSE,available,subnet-7d595924,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-7d595924
us-east-1c,use1-az1,24,10.203.0.160/27,FALSE,FALSE,FALSE,available,subnet-09a751284337be5ed,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-09a751284337be5ed
us-east-1a,use1-az4,11,10.203.9.0/28,FALSE,FALSE,FALSE,available,subnet-c513acb3,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-c513acb3
us-east-1b,use1-az6,0,10.203.63.48/28,FALSE,FALSE,FALSE,available,subnet-2d4dfe76,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-2d4dfe76
us-east-1d,use1-az2,26,10.206.222.96/27,FALSE,FALSE,FALSE,available,subnet-0447a68a3078705f8,vpc-062224ed81107628f,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0447a68a3078705f8
us-east-1d,use1-az2,26,10.203.10.128/27,FALSE,FALSE,FALSE,available,subnet-fa4099d6,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-fa4099d6
us-east-1e,use1-az3,25,10.203.1.32/27,FALSE,FALSE,FALSE,available,subnet-bbbf5f86,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-bbbf5f86
us-east-1a,use1-az4,11,10.203.5.0/28,FALSE,FALSE,FALSE,available,subnet-40b24c36,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-40b24c36
us-east-1b,use1-az6,123,10.203.11.128/25,FALSE,FALSE,FALSE,available,subnet-091e4a56e6d7cd708,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-091e4a56e6d7cd708
us-east-1d,use1-az2,25,10.203.3.224/27,FALSE,FALSE,FALSE,available,subnet-0fc7df0583e65a816,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0fc7df0583e65a816
us-east-1b,use1-az6,11,10.203.1.128/28,FALSE,FALSE,FALSE,available,subnet-792f5422,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-792f5422
us-east-1a,use1-az4,11,10.203.0.240/28,FALSE,FALSE,FALSE,available,subnet-efaf4c99,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-efaf4c99
us-east-1d,use1-az2,24,10.205.6.192/27,FALSE,FALSE,FALSE,available,subnet-c48d43e8,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-c48d43e8
us-east-1b,use1-az6,26,10.205.6.96/27,FALSE,FALSE,FALSE,available,subnet-f7d213af,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-f7d213af
us-east-1e,use1-az3,251,10.203.15.0/24,FALSE,FALSE,FALSE,available,subnet-cb371ff6,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-cb371ff6
us-east-1a,use1-az4,27,10.203.9.128/27,FALSE,FALSE,FALSE,available,subnet-6d9ee61b,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-6d9ee61b
us-east-1b,use1-az6,24,10.203.7.0/27,FALSE,FALSE,FALSE,available,subnet-1e519b46,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-1e519b46
us-east-1a,use1-az4,9,10.203.7.32/28,FALSE,FALSE,FALSE,available,subnet-b4dd6ec2,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-b4dd6ec2
us-east-1b,use1-az6,25,10.203.4.32/27,FALSE,FALSE,FALSE,available,subnet-091e62f01bd77099c,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-091e62f01bd77099c
